Filename,TDOA_1_2,Zero_Crossing_Rate,Spectral_Centroid,Spectral_Bandwidth,Spectral_Contrast,Spectral_Rolloff,Entropy_Energy,Short_Time_Energy,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5
3 (1).wav,1.64E-05,0,8006.387716,5284.760165,2.80794184,14254.98047,1,3.35E-08,-948.2257682,25.18106976,-19.86257761,15.065697,-11.72128187
3 (10).wav,1.47E-05,0,8006.389038,5284.761657,2.807715952,14254.98047,0.999999991,0.30480724,-161.813495,26.40553401,-21.08627155,16.28810794,-12.94189842
3 (11).wav,-1.75E-05,0,8006.500343,5284.878314,2.794760138,14254.98047,0.999994106,0.001025808,-441.5965192,26.40484704,-21.08560164,16.28745635,-12.94126422
3 (12).wav,-2.54E-05,0,8082.560573,5353.240131,1.715174308,14405.71289,0.989238138,5.61E-07,-810.1507256,25.45219436,-20.16402606,15.39907993,-12.08416809
3 (13).wav,1.24E-05,0,8006.396394,5284.769702,2.806629099,14254.98047,0.999999792,0.003237613,-385.1234991,26.40551103,-21.08624914,16.28808614,-12.9418772
3 (14).wav,-5.82E-06,0,8006.659922,5285.041839,2.779012468,14254.98047,0.999983565,0.000163505,-531.826629,26.40361229,-21.08439758,16.28628525,-12.94012437
3 (15).wav,5.37E-06,0,8006.391727,5284.764631,2.807296104,14254.98047,0.999999937,0.042849304,-258.2155092,26.40552787,-21.08626556,16.28810211,-12.94189275
3 (16).wav,7.90E-06,0,8006.388668,5284.761242,2.807777446,14254.98047,0.999999994,0.124940934,-205.6338111,26.40553449,-21.08627202,16.28810839,-12.94189886
3 (17).wav,1.91E-05,0,8006.470049,5284.846976,2.797989641,14254.98047,0.999995959,0.000166247,-531.0102071,26.40506161,-21.08581088,16.28765987,-12.9414623
3 (18).wav,-1.31E-05,0,8099.035188,5367.13415,1.643985382,14427.24609,0.986362983,7.87E-07,-793.4379335,25.25472018,-19.97481921,15.21865622,-11.91196193
3 (19).wav,3.48E-05,0,8006.758374,5285.141918,2.770001495,14254.98047,0.99997658,2.87E-05,-617.3434043,26.40279631,-21.08360189,16.28551135,-12.93937114
3 (2).wav,9.12E-06,0,8006.392967,5284.765987,2.807113182,14254.98047,0.999999903,0.111565952,-211.1971031,26.40552396,-21.08626175,16.28809841,-12.94188914
3 (20).wav,-8.66E-06,0,8006.387716,5284.760165,2.80794184,14254.98047,1,0.000155793,-534.2017821,26.40553508,-21.0862726,16.28810896,-12.94189941
3 (21).wav,-8.52E-06,0,8006.388941,5284.761549,2.807731876,14254.98047,0.999999991,0.080074423,-227.4931326,26.40553415,-21.08627168,16.28810807,-12.94189855
3 (22).wav,-1.35E-05,0,8006.552642,5284.932144,2.789401147,14254.98047,0.999990777,0.002622318,-395.4794127,26.40445826,-21.08522252,16.28708761,-12.94090531
3 (23).wav,-8.65E-08,0,8006.396922,5284.770272,2.806556624,14254.98047,0.999999773,0.026701645,-281.4545078,26.40550883,-21.08624699,16.28808405,-12.94187517
3 (24).wav,1.91E-05,0,8006.44467,5284.820593,2.800793625,14254.98047,0.999997407,0.006478664,-351.0396036,26.40523268,-21.0859777,16.28782213,-12.94162023
3 (25).wav,1.56E-05,0,8006.387716,5284.760165,2.80794184,14254.98047,1,1.57E-06,-760.2359773,26.40553508,-21.0862726,16.28810896,-12.94189941
3 (26).wav,-1.96E-05,0,8017.506358,5295.500171,2.329378494,14276.51367,0.9988766,2.15E-05,-631.3822934,26.27950613,-20.96350346,16.16883821,-12.82594405
3 (27).wav,1.20E-05,0,8007.325497,5285.712126,2.72415943,14254.98047,0.999932663,9.98E-06,-669.2327303,26.39767677,-21.07860993,16.28065638,-12.9346461
3 (28).wav,-8.10E-06,0,8010.381379,5288.71001,2.554001306,14254.98047,0.999651621,1.93E-06,-749.9734077,26.36534235,-21.04709119,16.25001336,-12.90483343
3 (29).wav,-8.72E-06,0,8006.387716,5284.760165,2.80794184,14254.98047,1,0.157878175,-194.1371206,26.40553508,-21.0862726,16.28810896,-12.94189941
3 (3).wav,7.42E-06,0,8006.387716,5284.760165,2.80794184,14254.98047,1,0.002758429,-392.9936752,26.40553508,-21.0862726,16.28810896,-12.94189941
3 (30).wav,-1.10E-05,0,8006.387716,5284.760165,2.80794184,14254.98047,1,1.07E-05,-665.970176,26.40553508,-21.0862726,16.28810896,-12.94189941
3 (31).wav,-7.70E-06,0,8006.388963,5284.761573,2.807728378,14254.98047,0.999999992,0.08484114,-224.6519571,26.40553412,-21.08627165,16.28810804,-12.94189852
3 (32).wav,-1.21E-05,0,8006.630569,5285.011903,2.7817881,14254.98047,0.999985559,0.000418697,-485.6250619,26.40384894,-21.08462834,16.28650969,-12.94034282
3 (33).wav,-1.56E-05,0,8006.403945,5284.777789,2.805628657,14254.98047,0.999999492,0.011899557,-321.1664206,26.40547599,-21.08621497,16.28805291,-12.94184486
3 (34).wav,1.16E-05,0,8006.816428,5285.200729,2.764874745,14254.98047,0.999972343,2.43E-05,-625.5125876,26.40230165,-21.08311954,16.28504221,-12.93891454
3 (35).wav,-1.26E-05,0,8006.408396,5284.782518,2.805064707,14254.98047,0.9999993,0.003837888,-376.7663263,26.40545281,-21.08619236,16.28803092,-12.94182345
3 (36).wav,8.56E-06,0,8006.391887,5284.764807,2.807272137,14254.98047,0.999999935,0.04149566,-259.7927636,26.40552739,-21.08626509,16.28810166,-12.94189231
3 (37).wav,-1.62E-05,0,8006.390476,5284.763256,2.807486507,14254.98047,0.999999967,0.082782642,-225.8588129,26.4055312,-21.08626881,16.28810527,-12.94189583
3 (38).wav,-6.87E-06,0,8006.396838,5284.770181,2.806568184,14254.98047,0.999999776,0.012029742,-320.6318102,26.40550918,-21.08624734,16.28808439,-12.9418755
3 (39).wav,7.97E-06,0,8006.387716,5284.760165,2.80794184,14254.98047,1,0.034009897,-269.5675136,26.40553508,-21.0862726,16.28810896,-12.94189941
3 (4).wav,1.46E-05,0,8006.392752,5284.765753,2.807144436,14254.98047,0.999999909,0.007445697,-344.2040368,26.40552467,-21.08626244,16.28809908,-12.9418898
3 (40).wav,-5.28E-06,0,8032.312366,5309.173004,2.082502844,14298.04688,0.997001674,2.24E-07,-855.59915,26.08869945,-20.77812821,15.98928246,-12.65189203
3 (41).wav,7.11E-06,0,8006.48491,5284.862367,2.796391691,14254.98047,0.999995069,0.000136259,-540.7841074,26.40495754,-21.08570939,16.28756115,-12.94136622
3 (42).wav,-3.10E-05,0,8008.124413,5286.504966,2.670334117,14254.98047,0.999864646,1.99E-05,-635.4188937,26.38978285,-21.07091357,16.27317214,-12.92736302
3 (43).wav,9.27E-06,0,8006.434797,5284.810285,2.801917097,14254.98047,0.999997952,0.000328051,-497.613663,26.40529627,-21.08603971,16.28788244,-12.94167894
3 (44).wav,1.14E-05,0,8006.393248,5284.766294,2.807072349,14254.98047,0.999999898,0.026348757,-282.1082087,26.40552301,-21.08626082,16.2880975,-12.94188826
3 (45).wav,-1.31E-05,0,8006.389639,5284.762328,2.807618419,14254.98047,0.999999981,0.036572127,-265.9986142,26.405533,-21.08627056,16.28810698,-12.94189749
3 (46).wav,2.67E-06,0,8006.489787,5284.86741,2.795873228,14254.98047,0.999994773,0.000128534,-543.6515695,26.40492287,-21.08567558,16.28752827,-12.94133422
3 (47).wav,1.16E-05,0,8187.288508,5438.13127,1.391971972,14599.51172,0.968957514,1.06E-06,-778.5537563,24.27528674,-19.04528906,14.34179948,-11.08398456
3 (48).wav,1.40E-05,0,8006.539547,5284.918692,2.79072119,14254.98047,0.999991626,8.02E-05,-566.810631,26.40455741,-21.0853192,16.28718164,-12.94099684
3 (49).wav,2.18E-06,0,8006.387716,5284.760165,2.80794184,14254.98047,1,0.008359566,-338.5156936,26.40553508,-21.0862726,16.28810896,-12.94189941
3 (5).wav,-3.13E-05,0,8007.881641,5286.264981,2.685697775,14254.98047,0.999885873,2.35E-05,-627.0384914,26.39224193,-21.073311,16.27550338,-12.92963148
3 (50).wav,8.20E-06,0,8006.6867,5285.069107,2.776518245,14254.98047,0.999981693,0.000146786,-537.1266093,26.40339355,-21.08418428,16.28607779,-12.93992245
3 (51).wav,-1.90E-05,0,8007.520325,5285.906358,2.710100986,14254.98047,0.999916601,0.000128884,-543.5128794,26.39580877,-21.07678859,16.27888514,-12.93292237
3 (52).wav,8.55E-06,0,8006.664029,5285.046024,2.778627636,14254.98047,0.999983246,0.000160398,-532.7692472,26.40357891,-21.08436503,16.28625359,-12.94009355
3 (53).wav,1.45E-05,0,8006.390448,5284.763225,2.807490876,14254.98047,0.999999968,0.021061656,-293.1127883,26.40553127,-21.08626888,16.28810534,-12.94189589
3 (54).wav,2.64E-05,0,8013.593361,5291.795627,2.4355634,14276.51367,0.999317283,9.84E-07,-783.0114828,26.32771213,-21.01043181,16.21439594,-12.87020351
3 (55).wav,-5.75E-06,0,8006.387716,5284.760165,2.80794184,14254.98047,1,0.00018692,-525.2515739,26.40553508,-21.0862726,16.28810896,-12.94189941
3 (56).wav,-1.00E-05,0,8006.387716,5284.760165,2.80794184,14254.98047,1,3.73E-09,-1052.338927,19.75737977,-14.48924159,9.77542647,-6.545520836
3 (57).wav,2.97E-05,0,11025,6371.499786,4.06E-15,18755.41992,-1.44E-10,1.86E-09,-1104.490507,-0.068059035,-0.055191875,-0.040334314,-0.029238681
3 (58).wav,-1.71E-05,0,8006.513344,5284.891724,2.793405081,14254.98047,0.999993315,0.000904512,-447.7795771,26.4047523,-21.08550926,16.2873665,-12.94117676
3 (59).wav,-1.76E-05,0,8006.387716,5284.760165,2.80794184,14254.98047,1,8.58E-06,-676.6305279,26.40553508,-21.0862726,16.28810896,-12.94189941
3 (6).wav,4.40E-06,0,8006.487744,5284.865298,2.796090058,14254.98047,0.999994897,0.000526668,-474.3530738,26.40493742,-21.08568977,16.28754207,-12.94134765
3 (60).wav,5.09E-06,0,8006.49816,5284.87606,2.794989376,14254.98047,0.99999426,0.00011704,-548.2545266,26.40486281,-21.08561702,16.28747131,-12.94127877
3 (61).wav,5.07E-06,0,8006.58435,5284.964652,2.786256583,14254.98047,0.999988686,5.94E-05,-581.596661,26.40421403,-21.08498436,16.28685596,-12.94067984
3 (62).wav,8.98E-07,0,8006.387716,5284.760165,2.80794184,14254.98047,1,0.000460268,-480.9748527,26.40553508,-21.0862726,16.28810896,-12.94189941
3 (63).wav,1.48E-06,0,8006.859055,5285.243831,2.761187591,14254.98047,0.999969185,8.72E-05,-562.710177,26.40193299,-21.08276006,16.28469259,-12.93857426
3 (64).wav,1.29E-05,0,8006.421596,5284.796447,2.803458497,14254.98047,0.999998658,0.024533429,-285.6155879,26.40537763,-21.08611905,16.28795961,-12.94175404
3 (65).wav,3.55E-05,0,8008.760442,5287.130639,2.633275412,14254.98047,0.999807213,0.000125447,-544.8336106,26.38314988,-21.06444737,16.26688503,-12.92124571
3 (66).wav,-8.75E-06,0,8006.417586,5284.792228,2.803938123,14254.98047,0.999998851,0.000584923,-469.1985565,26.40540127,-21.0861421,16.28798203,-12.94177587
3 (67).wav,-2.12E-05,0,8006.387716,5284.760165,2.80794184,14254.98047,1,0.000171402,-529.5102171,26.40553508,-21.0862726,16.28810896,-12.94189941
3 (68).wav,1.30E-05,0,8007.236775,5285.623443,2.730804663,14254.98047,0.99993984,0.000100503,-555.7353301,26.39851217,-21.07942448,16.28144855,-12.93541704
3 (69).wav,-1.53E-05,0,8151.356418,5409.861295,1.476861245,14534.91211,0.976414308,1.14E-07,-888.2709428,24.66026628,-19.40891217,14.68294789,-11.40435581
3 (7).wav,2.74E-06,0,8006.412281,5284.786631,2.804583076,14254.98047,0.999999118,0.003047736,-388.0930238,26.40543153,-21.08617161,16.28801073,-12.94180381
3 (70).wav,-1.05E-05,0,8006.387716,5284.760165,2.80794184,14254.98047,1,0.000754371,-456.6985341,26.40553508,-21.0862726,16.28810896,-12.94189941
3 (71).wav,-1.08E-05,0,8006.387716,5284.760165,2.80794184,14254.98047,1,0.000294153,-502.9730034,26.40553508,-21.0862726,16.28810896,-12.94189941
3 (72).wav,-3.96E-06,0,11025,6371.499786,4.06E-15,18755.41992,-1.44E-10,1.86E-09,-1104.490507,-0.068059035,-0.055191875,-0.040334314,-0.029238681
3 (73).wav,1.09E-05,0,8006.431117,5284.806434,2.802341744,14254.98047,0.99999815,0.00581146,-356.3797438,26.40531942,-21.08606229,16.2879044,-12.94170031
3 (74).wav,1.79E-05,0,8006.515116,5284.89355,2.793221648,14254.98047,0.999993183,0.002463822,-398.5428882,26.40473928,-21.08549656,16.28735415,-12.94116474
3 (75).wav,-1.96E-05,0,8006.416192,5284.790759,2.80410639,14254.98047,0.99999892,0.002489636,-398.0311528,26.40540934,-21.08614997,16.28798969,-12.94178332
3 (76).wav,2.28E-07,0,8006.648995,5285.0307,2.780040517,14254.98047,0.999984322,4.29E-05,-597.6242175,26.40370079,-21.08448388,16.28636918,-12.94020606
3 (77).wav,3.45E-06,0,8006.387716,5284.760165,2.80794184,14254.98047,1,0.011882916,-321.2352165,26.40553508,-21.0862726,16.28810896,-12.94189941
3 (78).wav,1.49E-05,0,8009.751031,5288.098043,2.582700451,14254.98047,0.999713413,2.11E-05,-632.4233406,26.37239457,-21.05396404,16.25669367,-12.9113312
3 (79).wav,6.49E-06,0,8006.387716,5284.760165,2.80794184,14254.98047,1,0.011882916,-321.2352165,26.40553508,-21.0862726,16.28810896,-12.94189941
3 (8).wav,-8.08E-06,0,8006.392157,5284.765102,2.807232077,14254.98047,0.999999928,0.037470507,-264.8062199,26.40552657,-21.0862643,16.28810088,-12.94189155
3 (80).wav,-1.60E-06,0,8009.751031,5288.098043,2.582700451,14254.98047,0.999713413,2.11E-05,-632.4233406,26.37239457,-21.05396404,16.25669367,-12.9113312
3 (81).wav,-1.32E-05,0,8006.395242,5284.768458,2.80678894,14254.98047,0.999999835,0.004085647,-373.692589,26.40551566,-21.08625366,16.28809054,-12.94188148
3 (82).wav,9.72E-06,0,8006.656105,5285.037949,2.779370923,14254.98047,0.999983797,0.000165855,-531.1255575,26.40364326,-21.08442778,16.28631462,-12.94015295
3 (83).wav,-1.80E-05,0,8006.418298,5284.792978,2.803852491,14254.98047,0.999998816,0.002269374,-402.582616,26.40539711,-21.08613805,16.28797809,-12.94177203
3 (84).wav,-4.24E-06,0,8006.390666,5284.763465,2.807457127,14254.98047,0.999999963,0.166293614,-191.5854839,26.40553074,-21.08626836,16.28810484,-12.9418954
3 (85).wav,-9.97E-06,0,8006.387716,5284.760165,2.80794184,14254.98047,1,3.99E-05,-601.1230383,26.40553508,-21.0862726,16.28810896,-12.94189941
3 (86).wav,1.02E-05,0,8006.391218,5284.764073,2.807372758,14254.98047,0.999999949,0.120218549,-207.526961,26.40552931,-21.08626696,16.28810348,-12.94189408
3 (87).wav,6.94E-06,0,8006.40984,5284.784049,2.804884643,14254.98047,0.999999226,0.013890721,-313.5642724,26.405445,-21.08618475,16.28802351,-12.94181624
3 (88).wav,1.04E-05,0,8007.115571,5285.502024,2.74015834,14254.98047,0.999949487,0.000212796,-518.8777633,26.39963585,-21.08052014,16.28251412,-12.93645407
3 (89).wav,-3.89E-05,0.000488281,11025,6371.499786,0,18755.41992,-1.44E-10,4.66E-10,-1131.37085,0,0,0,0
3 (9).wav,-8.19E-06,0,8006.390519,5284.763302,2.807479986,14254.98047,0.999999966,0.020167849,-295.2434916,26.4055311,-21.08626871,16.28810518,-12.94189574
3 (90).wav,-1.55E-05,0,8006.387716,5284.760165,2.80794184,14254.98047,1,0.001185,-434.5085978,26.40553508,-21.0862726,16.28810896,-12.94189941
